A,Ea_J_mol,T_K,k
8511.321210328846,33359.417553603984,340.3500326418703,0.06566888199558094
70053.62872117794,91904.20592143491,287.4793625461195,1.3984119288435747e-12
375818944.7233463,83734.20605739093,322.29491019764225,1.0236640746606414e-05
596057.494056324,40237.381369767725,281.31478535064673,0.020966096417347303
991708.4482268593,47095.08625360271,283.9675435587206,0.0021322644729246504
2074630574654.8818,36827.71779544262,300.8915526301523,864318.4210524507
11784.796799509377,44756.23518379838,321.67858579752334,0.0006632809393132603
621531.8800902164,49721.18078026277,303.1172856003585,0.0017495528449427132
20099.2855228353,103272.15259079954,280.99367725742735,1.3190380307655418e-15
5758.974145547809,112306.42143721897,299.48202398521323,1.471666466353463e-16
773903160192.6226,114604.7176526628,321.4305808883952,1.8895340123296618e-07
1320.3214834269445,38855.99434886692,324.8268970036379,0.000780186481433072
444532917985.1476,114940.27027839546,342.4769297691389,1.3259499927303814e-06
887374873844.9277,83673.31498199681,304.9886826943059,0.004127285307115981
8301104418782.81,109318.51207846304,340.7988896584409,0.0001441247859045277
6758151.3528436385,43426.399853682015,344.3893435662611,1.738218620270078
8441.437841730496,73483.50978733534,301.90351662310184,1.6949427181150842e-09
13978653.713841723,82141.37848947018,289.98625565190656,2.197431917408052e-08
2029685789396.8652,48159.77304530144,332.874395593953,55473.27843661461
3115926109.0977354,80847.6119075894,319.0117084240361,0.00017804719672046113
2032.4269913562873,100381.21135989584,286.38161067520576,9.849781874517278e-16
11697362.785819236,90237.35916086976,308.7712281899756,6.309467254835458e-09
1121161220711.8582,95705.36182263026,336.55111149733636,0.0016378338641782836
2853386.3961916273,113526.1115742846,347.6598122293377,2.4759494456846003e-11
152928059.15239635,60338.34730771357,347.9206209792299,0.1326330922619667
1361989662.1417828,61346.07206642526,315.71694925493773,0.09997018399702481
2771611602213.391,89071.11704914231,324.63088614088537,0.013465771350530634
32551197.193255976,80095.69159447691,323.74631849617674,3.9751043965235e-06
15983.103799027256,107728.78792640148,347.5514032739169,1.0479277817053452e-12
908008.3170385162,102103.06800359058,288.08998294791184,2.8019453689189273e-13
104331744126.78171,81097.4289635075,319.0665137823428,0.0054328576300004955
16127849.641623417,54065.40187582182,320.27939359020905,0.024811505406969924
21639803338.709316,101257.80956886406,337.4105905855825,4.763468969054691e-06
103802075064.43875,117191.15792695625,320.0487499900114,7.922158079925955e-09
6263744628.686393,96411.8365475736,322.7264075378089,1.6233745744212527e-06
1737428.1464394864,44390.85235614293,347.47836603702575,0.37363107655728633
2172.2843734363664,90822.54003295569,285.76166706828576,5.4748067778337786e-14
589800493.309143,35183.10814264574,337.73575385794936,2108.57470681705
53237.39749303589,88592.5793647925,332.20982141025036,6.39771633046714e-10
5466997628155.674,110740.28425411446,316.6885715126233,3.077350659057279e-06
5296.529715416742,88274.05013943456,322.52782771517354,2.7901180891048405e-11
8306128.937994371,91443.74265304088,296.33574149226996,6.464421907047199e-10
55539.797772296864,101098.44923403049,342.064757068802,2.0079600211806735e-11
6526.785128423751,58244.57476002154,323.4018977616835,2.6103414680275988e-06
1587451368.4009652,63972.15127054076,307.9069255318888,0.022499138487432343
66597602.54219709,109615.22620883542,326.0681527750114,1.8562387315375892e-10
10756561.039622176,104267.95306231425,331.08580694747224,3.9805148670930146e-10
15279204.308756571,106554.36494592231,305.1265019595465,9.177912117565708e-12
184181847568.07706,86283.80736758834,287.79903365773123,3.9423746246195824e-05
11982964.94206218,40270.13668849007,306.7472877819394,1.6514951811394654
7656459012139.862,99977.3309903263,333.71889548956295,0.001755512628589191
102524.19653285267,83986.3308385823,315.73590312663697,1.3188778435253757e-09
96884.8453809035,94898.208836959,339.1047095494994,2.3103810596043108e-10
9291202193657.887,76604.22550845944,303.66890639687205,0.6431512520040124
35261.403746540236,110767.2374095837,292.9892928101646,6.50784379408813e-16
643225968.0579135,55235.359662010495,307.83160179881185,0.28543414206347323
146971235279.7277,31735.42929255426,299.94422576199094,451238.6398555949
2136188765.9386277,92764.54969618696,348.70530766810685,2.6821881286999932e-05
3481141030755.033,47138.724561204755,328.02861203118266,111156.08963131905
1726737617.3898807,83455.7922429271,326.0129111449645,7.657984437458663e-05
389896992870.1697,86699.01308824739,327.9682337594261,0.0059976222598303024
48042.1424092356,74388.06210481029,324.4649972216749,5.257885238477659e-08
2903383.844900287,57378.19298019807,303.5976034105309,0.0003878535932140646
543735694.1455284,85660.98929344394,306.2906631756575,1.3970429929533502e-06
118330251130.65822,90095.85823048749,296.5980762423194,1.668922501834875e-05
232200588331.49887,32132.911909633942,295.29143609722746,489701.3157617376
14358.098364293246,57098.2314509299,344.16426894127625,3.058884212351073e-05
1238.106114919204,33304.05647212657,316.7995166985984,0.004014041760783391
3357935405.536085,57878.95722750221,348.38425806418473,6.941004393543734
1086867123.1415694,90021.98206075063,313.1662921172939,1.0665258198661355e-06
